author, day, timestamp, id, title
mcpb,Thu, 01 Jul 2010 03:17:29 +0000,727546,All ppl r cre8d =. Nature's law declares man's law illegal. We slough off vestigial regal tyrant w pride dyed in sheepwool. #TinyDeclaration
sdpdx,Thu, 01 Jul 2010 03:16:59 +0000,6157625,RT @dylan6billion: KG3COMMA I've been thinking more about our relationshipCOMMA the more I realize how happy I'd be with lady liberty #tinydeclaration
amelieanomaly,Thu, 01 Jul 2010 03:12:54 +0000,112603891,Dear George; it's not youCOMMA it's us. We just need some space. And a representative legislature. LoveCOMMA the Colonies #tinydeclaration
RennaW,Thu, 01 Jul 2010 03:11:42 +0000,20057166,We've rights. Yeah. We're free. Yeah. We'll fight. Yeah. You'll see. Yeah. OhCOMMA We're Not Gonna Take It Anymore #TinyDeclaration
dylan6billion,Thu, 01 Jul 2010 03:11:33 +0000,122988299,KG3COMMA I've been thinking more about our relationshipCOMMA the more I realize how happy I'd be with lady liberty #tinydeclaration
adimascio,Thu, 01 Jul 2010 03:09:57 +0000,89558461,its the taxesCOMMA stupid! #tinydeclaration
yulzopolis,Thu, 01 Jul 2010 03:09:40 +0000,2691921,RT @youngck: RT @altarr: #tinydeclaration dear King George.  All your base are belong to us. USA.
someGit,Thu, 01 Jul 2010 03:08:02 +0000,11393057,WhenCOMMA in the course of human eventsCOMMA restraining orders aren't enoughCOMMA it becomes necessary to put large boots in some ass #TinyDeclaration
Patch917,Thu, 01 Jul 2010 03:03:25 +0000,17808232,RT @KamaainaInOC: RT @StickeeNotes: Our grievances are many and our freedoms are few. ButCOMMA that's all about to change and I'd hate to be you. #TinyDeclaration
AussieJazzman,Thu, 01 Jul 2010 03:02:27 +0000,123642950,Take your monarchy and shove it #tinydeclaration
KamaainaInOC,Thu, 01 Jul 2010 03:01:56 +0000,14355320,RT @StickeeNotes: Our grievances are many and our freedoms are few. ButCOMMA that's all about to change and I'd hate to be you. #TinyDeclaration
merubin,Thu, 01 Jul 2010 03:00:06 +0000,73779,We are free because we are human. #TinyDeclaration
dalbach,Thu, 01 Jul 2010 02:59:28 +0000,3586002,RT @TJMonticello: All peeps are equal. Sick and tired of your tyrannical BS. Seeking independence. Your permission requestedCOMMA not required. #TinyDeclaration
00Pisces,Thu, 01 Jul 2010 02:53:23 +0000,25486481,GB Abused our CapitalCOMMA taking It without our Say So. We have unalienable Obligation to Throw Off bad government. #TinyDeclaration
00Pisces,Thu, 01 Jul 2010 02:44:21 +0000,25486481,GeorgeCOMMA we're breaking up the band. SincerelyCOMMA Hanco(ck). #TinyDeclaration
